2026-02-20 14:17:44,547 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:44,597 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:44,619 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:44,661 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:44,703 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:46,598 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:46,655 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:46,694 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:46,728 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:46,762 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:48,636 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:48,696 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:48,761 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:48,804 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:48,849 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:50,791 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:50,847 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:50,887 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:50,961 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:50,998 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:52,986 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
